"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"87332","2016","2016","2016","AL","Alabama","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","16.3","","","15.9","16.6","42,671","32.84057112200048","-86.63186076199969","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"87333","2016","2016","2016","AK","Alaska","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","19.8","","","18.8","20.8","5,983","64.84507995700051","-147.72205903599973","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"87334","2016","2016","2016","AZ","Arizona","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","12.1","","","11.8","12.3","58,054","34.865970280000454","-111.76381127699972","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"87335","2016","2016","2016","AR","Arkansas","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","13.3","","","12.8","13.7","23,647","34.74865012400045","-92.27449074299966","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"87336","2016","2016","2016","CA","California","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","15.5","","","15.4","15.6","495,095","37.63864012300047","-120.99999953799971","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"87337","2016","2016","2016","CO","Colorado","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","8.1","","","7.8","8.4","31,307","38.843840757000464","-106.13361092099967","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","8","","","",""
"87338","2016","2016","2016","CT","Connecticut","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","14.4","","","13.9","14.9","18,748","41.56266102000046","-72.64984095199964","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"87339","2016","2016","2016","DE","Delaware","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","16.2","","","15.3","17.0","6,906","39.008830667000495","-75.57774116799965","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"87340","2016","2016","2016","DC","District of Columbia","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","11.4","","","10.5","12.3","5,181","38.89037138500049","-77.03196112699965","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","11","","","",""
"87341","2016","2016","2016","FL","Florida","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","12.7","","","12.6","12.9","193,749","28.932040377000476","-81.92896053899966","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","12","","","",""
