"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"79484","2014","2014","2014","AL","Alabama","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","16.3","","","15.9","16.6","43,509","32.84057112200048","-86.63186076199969","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"80002","2014","2014","2014","AK","Alaska","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","19.1","","","18.1","20.2","5,552","64.84507995700051","-147.72205903599973","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"79187","2014","2014","2014","AZ","Arizona","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","13.3","","","13.0","13.6","53,044","34.865970280000454","-111.76381127699972","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"79534","2014","2014","2014","AR","Arkansas","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","14.4","","","14.0","14.8","28,543","34.74865012400045","-92.27449074299966","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"79719","2014","2014","2014","CA","California","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","16.6","","","16.5","16.7","551,510","37.63864012300047","-120.99999953799971","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"80152","2014","2014","2014","CO","Colorado","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","8.5","","","8.2","8.8","33,057","38.843840757000464","-106.13361092099967","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","8","","","",""
"79254","2014","2014","2014","CT","Connecticut","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","15.3","","","14.8","15.8","19,839","41.56266102000046","-72.64984095199964","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"79854","2014","2014","2014","DE","Delaware","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","17.2","","","16.3","18.1","7,251","39.008830667000495","-75.57774116799965","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"79371","2014","2014","2014","DC","District of Columbia","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","13.0","","","12.1","14.0","4,608","38.89037138500049","-77.03196112699965","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","11","","","",""
"79974","2014","2014","2014","FL","Florida","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","12.7","","","12.6","12.9","182,567","28.932040377000476","-81.92896053899966","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","12","","","",""
